Date,Description,Amount,Balance
02/08/2025,"OSKO PAYMENT TO J MCKENZIE PTY LTD 844237",-3532.52,-499.67
04/08/2025,"VISA PURCHASE 04/08 BUNNINGS 8852 BLACKTOWN",-1218.31,-1717.98
04/08/2025,"EFTPOS CALTEX 5899",-71.63,-1789.61
04/08/2025,"EFTPOS WOOLWORTHS 6461 NEWCASTLE",-58.61,-1848.22
04/08/2025,"DIRECT DEBIT 879597",-97.22,-1945.44
05/08/2025,"OSKO PAYMENT FROM HARBOUR CIVIL INV 752724",8985.24,7039.80
05/08/2025,"VISA PURCHASE 05/08 MITRE 10 SYDNEY NS",-197.56,6842.24
07/08/2025,"EFTPOS BUNNINGS WAREHOUSE 7146",-1136.62,5705.62
07/08/2025,"BPAY 737248 AGL ENERGY",-614.09,5091.53
07/08/2025,"PAYROLL 159022",-15623.50,-10531.97
07/08/2025,"ACCOUNT KEEPING FEE",-10.00,-10541.97
08/08/2025,"DIRECT CREDIT 421848 HARBOUR CIVIL",15388.86,4846.89
09/08/2025,"DEPOSIT REDGUM PROJECTS PROGRESS CLAIM 894624",10270.43,15117.32
11/08/2025,"EFTPOS BUNNINGS WAREHOUSE 9164",-235.66,14881.66
11/08/2025,"VISA PURCHASE 11/08 AMPOL RICHMOND VIC",-151.25,14730.41
12/08/2025,"TRANSFER TO 996396 YARD RENT MONTHLY",-3300.00,11430.41
13/08/2025,"OSKO PAYMENT FROM REDGUM PROJECTS INV 961381",12577.31,24007.72
14/08/2025,"VISA PURCHASE 14/08 BP NEWCASTLE",-74.99,23932.73
14/08/2025,"TRANSFER TO SOUTHERN CONCRETING CONTRACTING",-3218.28,20714.45
14/08/2025,"EFTPOS 8147 NEWCASTLE",-247.39,20467.06
15/08/2025,"DIRECT DEBIT 928302 TELSTRA CORP",-213.23,20253.83
15/08/2025,"PAYROLL 999537",-16719.45,3534.38
16/08/2025,"EFTPOS WOOLWORTHS 7739 PARRAMATTA",-150.24,3384.14
17/08/2025,"VISA PURCHASE 17/08 BUNNINGS 4983 GEELONG VIC",-2135.71,1248.43
18/08/2025,"DIRECT CREDIT 912074 ATLAS PROPERTY GRP",13408.10,14656.53
19/08/2025,"EFTPOS CALTEX 7463",-138.95,14517.58
20/08/2025,"VISA PURCHASE 20/08 BUNNINGS 5715 SYDNEY NS",-1309.97,13207.61
21/08/2025,"OSKO PAYMENT TO SOUTHERN CONCRETING PTY LTD 270285",-8378.16,4829.45
21/08/2025,"TFR 797345",-453.76,4375.69
22/08/2025,"OSKO PAYMENT FROM PACIFIC FITOUTS INV 343740",3929.60,8305.29
22/08/2025,"EFTPOS WOOLWORTHS 2422 GEELONG VIC",-32.89,8272.40
24/08/2025,"OSKO PAYMENT FROM K&L DEVELOPMENTS INV 175335",5771.07,14043.47
25/08/2025,"LOAN REPAYMENT 624546 EQUIPMENT FINANCE",-1840.00,12203.47
26/08/2025,"VISA PURCHASE 26/08 BUNNINGS 5506 MELBOURNE VI",-221.64,11981.83
26/08/2025,"DIRECT DEBIT 492367 REECE PLUMBING",-1512.62,10469.21
26/08/2025,"VISA PURCHASE 26/08 MICROSOFT 365",-176.64,10292.57
26/08/2025,"BPAY 502254 BLACKTOWN CITY COUNCIL RATES",-645.27,9647.30
27/08/2025,"VISA PURCHASE 27/08 AMPOL GEELONG VIC",-171.19,9476.11
27/08/2025,"OSKO PAYMENT TO APEX ELECTRICAL PTY LTD 300447",-1027.24,8448.87
28/08/2025,"DIRECT CREDIT 160423 K&L DEVELOPMENTS",7779.69,16228.56
28/08/2025,"DIRECT DEBIT 164084",-219.11,16009.45
29/08/2025,"EFTPOS BUNNINGS WAREHOUSE 5058",-1863.12,14146.33
29/08/2025,"EFTPOS WOOLWORTHS 9203 SPRINGVALE",-47.66,14098.67
29/08/2025,"PAYROLL 332104",-15814.05,-1715.38
01/09/2025,"TRANSFER TO TRUE LINE PLUMBING CONTRACTING",-4810.32,-6525.70
02/09/2025,"VISA PURCHASE 02/09 MITRE 10 SYDNEY NS",-250.65,-6776.35
02/09/2025,"VISA PURCHASE 02/09 BP MELBOURNE VI",-113.59,-6889.94
02/09/2025,"VISA PURCHASE 02/09 AWS EMEA AUD",-308.02,-7197.96
02/09/2025,"VISA PURCHASE 02/09 OFFICEWORKS 1287 PARRAMATTA",-160.68,-7358.64
03/09/2025,"CREDIT INTEREST PAID",28.16,-7330.48
04/09/2025,"EFTPOS BUNNINGS WAREHOUSE 3627",-555.05,-7885.53
04/09/2025,"BPAY 480235 ATO BUSINESS ACTIVITY STATEMENT",-10848.23,-18733.76
05/09/2025,"VISA PURCHASE 05/09 BP RICHMOND VIC",-181.20,-18914.96
05/09/2025,"DIRECT DEBIT 674925 TELSTRA CORP",-234.73,-19149.69
08/09/2025,"OSKO PAYMENT FROM NORTHSIDE BUILDERS INV 582726",18126.36,-1023.33
09/09/2025,"TRANSFER TO 191488 YARD RENT MONTHLY",-3300.00,-4323.33
09/09/2025,"VISA PURCHASE 09/09 COLES 5724",-47.31,-4370.64
09/09/2025,"EFTPOS 7658 GEELONG VIC",-278.51,-4649.15
10/09/2025,"EFTPOS TRADELINK 8012 SPRINGVALE",-1455.13,-6104.28
10/09/2025,"VISA PURCHASE 10/09 AMPOL PENRITH NSW",-59.82,-6164.10
10/09/2025,"DIRECT DEBIT 318222 NRMA INSURANCE",-142.00,-6306.10
10/09/2025,"INTERNATIONAL TRANSACTION FEE",-1.76,-6307.86
11/09/2025,"TRANSFER TO D PATEL CARPENTRY CONTRACTING",-1359.95,-7667.81
13/09/2025,"VISA PURCHASE 13/09 BUNNINGS 6985 GEELONG VIC",-544.46,-8212.27
13/09/2025,"VISA PURCHASE 13/09 OFFICEWORKS 7182 SPRINGVALE",-146.85,-8359.12
15/09/2025,"DIRECT DEBIT 463673 REECE PLUMBING",-2384.88,-10744.00
15/09/2025,"VISA PURCHASE 15/09 BP PARRAMATTA",-119.26,-10863.26
15/09/2025,"BPAY 690184 AGL ENERGY",-560.39,-11423.65
15/09/2025,"OSKO PAYMENT TO J MCKENZIE PTY LTD 252081",-5182.87,-16606.52
16/09/2025,"VISA PURCHASE 16/09 XERO.COM",-70.00,-16676.52
16/09/2025,"VISA PURCHASE 16/09 BAKERS DELIGHT 1103",-28.35,-16704.87
16/09/2025,"INTEREST CHARGED",-538.88,-17243.75
17/09/2025,"DIRECT CREDIT 566153 CENTENNIAL GROUP",5818.81,-11424.94
17/09/2025,"VISA PURCHASE 17/09 BUNNINGS 2017 NEWCASTLE",-183.83,-11608.77
18/09/2025,"VISA PURCHASE 18/09 BOB JANE T-MART 8908",-1369.92,-12978.69
19/09/2025,"DIRECT CREDIT 431968 ATLAS PROPERTY GRP",7033.94,-5944.75
21/09/2025,"PAYROLL 138685",-16053.51,-21998.26
23/09/2025,"OSKO PAYMENT FROM WESTFIELD RETAIL INV 581005",17521.72,-4476.54
23/09/2025,"VISA PURCHASE 23/09 BUNNINGS 4571 PENRITH NSW",-1345.61,-5822.15
24/09/2025,"VISA PURCHASE 24/09 BP PENRITH NSW",-104.64,-5926.79
24/09/2025,"VISA PURCHASE 24/09 AWS EMEA AUD",-265.59,-6192.38
24/09/2025,"EFTPOS WOOLWORTHS 6077 PENRITH NSW",-59.75,-6252.13
24/09/2025,"LOAN REPAYMENT 339922 EQUIPMENT FINANCE",-1840.00,-8092.13
26/09/2025,"VISA PURCHASE 26/09 MITRE 10 MELBOURNE VI",-406.73,-8498.86
28/09/2025,"DIRECT CREDIT 673872 ATLAS PROPERTY GRP",17399.54,8900.68
28/09/2025,"VISA PURCHASE 28/09 BUNNINGS 3706 MELBOURNE VI",-2264.01,6636.67
30/09/2025,"VISA PURCHASE 30/09 AMPOL SYDNEY NS",-185.27,6451.40
30/09/2025,"PAYROLL 415445",-15018.83,-8567.43
01/10/2025,"VISA PURCHASE 01/10 BUNNINGS 9833 GEELONG VIC",-598.59,-9166.02
01/10/2025,"DIRECT DEBIT 676635 REECE PLUMBING",-2665.51,-11831.53
01/10/2025,"VISA PURCHASE 01/10 COLES 4549",-25.25,-11856.78
01/10/2025,"DIRECT DEBIT 445474",-178.63,-12035.41
02/10/2025,"DIRECT CREDIT 241698 HARBOUR CIVIL",12772.37,736.96
02/10/2025,"DEPOSIT ATLAS PROPERTY GRP PROGRESS CLAIM 793365",32058.66,32795.62
02/10/2025,"TRANSFER TO SOUTHERN CONCRETING CONTRACTING",-3087.15,29708.47
03/10/2025,"EFTPOS CALTEX 4278",-200.05,29508.42
05/10/2025,"INTERNATIONAL TRANSACTION FEE",-4.81,29503.61
06/10/2025,"EFTPOS BUNNINGS WAREHOUSE 8985",-1089.40,28414.21
07/10/2025,"OSKO PAYMENT FROM REDGUM PROJECTS INV 488523",3769.12,32183.33
07/10/2025,"VISA PURCHASE 07/10 BOB JANE T-MART 9780",-1363.66,30819.67
07/10/2025,"EFTPOS 1365 SPRINGVALE",-280.42,30539.25
08/10/2025,"CREDIT INTEREST PAID",12.79,30552.04
09/10/2025,"VISA PURCHASE 09/10 MICROSOFT 365",-134.58,30417.46
09/10/2025,"TRANSFER TO D PATEL CARPENTRY CONTRACTING",-6944.71,23472.75
10/10/2025,"DIRECT CREDIT 547512 K&L DEVELOPMENTS",9094.43,32567.18
10/10/2025,"VISA PURCHASE 10/10 BUNNINGS 6083 SYDNEY NS",-589.75,31977.43
12/10/2025,"TFR 338873",-3606.30,28371.13
13/10/2025,"VISA PURCHASE 13/10 BUNNINGS 4906 NEWCASTLE",-121.71,28249.42
13/10/2025,"VISA PURCHASE 13/10 AMPOL PARRAMATTA",-82.88,28166.54
13/10/2025,"VISA PURCHASE 13/10 COLES 2012",-172.97,27993.57
13/10/2025,"PAYROLL 506887",-14705.87,13287.70
14/10/2025,"OSKO PAYMENT FROM HARBOUR CIVIL INV 369179",4813.86,18101.56
15/10/2025,"DIRECT DEBIT 132090 NRMA INSURANCE",-142.00,17959.56
15/10/2025,"DIRECT DEBIT 325354 CGU BUSINESS INSURANCE",-486.00,17473.56
15/10/2025,"TRANSFER TO 210873 YARD RENT MONTHLY",-3300.00,14173.56
16/10/2025,"VISA PURCHASE 16/10 OFFICEWORKS 3246 RICHMOND VIC",-410.32,13763.24
16/10/2025,"INTEREST CHARGED",-377.84,13385.40
17/10/2025,"VISA PURCHASE 17/10 BUNNINGS 5514 PENRITH NSW",-1903.13,11482.27
17/10/2025,"VISA PURCHASE 17/10 MITRE 10 GEELONG VIC",-886.81,10595.46
17/10/2025,"BPAY 480780 BLACKTOWN CITY COUNCIL RATES",-642.99,9952.47
19/10/2025,"DIRECT CREDIT 674517 CENTENNIAL GROUP",15532.60,25485.07
19/10/2025,"VISA PURCHASE 19/10 BP NEWCASTLE",-92.98,25392.09
19/10/2025,"DIRECT DEBIT 207535 TELSTRA CORP",-210.98,25181.11
20/10/2025,"EFTPOS BUNNINGS WAREHOUSE 1713",-856.46,24324.65
21/10/2025,"TRANSFER TO TRUE LINE PLUMBING CONTRACTING",-1461.22,22863.43
23/10/2025,"VISA PURCHASE 23/10 BP PENRITH NSW",-111.82,22751.61
27/10/2025,"VISA PURCHASE 27/10 BUNNINGS 3781 SYDNEY NS",-1527.54,21224.07
27/10/2025,"PAYMENT R OBRIEN",-2344.17,18879.90
28/10/2025,"OSKO PAYMENT FROM MERIDIAN CONSTRUCTIONS INV 804382",3081.97,21961.87
28/10/2025,"VISA PURCHASE 28/10 BP MELBOURNE VI",-67.05,21894.82
28/10/2025,"VISA PURCHASE 28/10 OFFICEWORKS 7046 PENRITH NSW",-395.96,21498.86
28/10/2025,"VISA PURCHASE 28/10 COLES 8096",-59.62,21439.24
28/10/2025,"VISA PURCHASE 28/10 BAKERS DELIGHT 3516",-55.78,21383.46
29/10/2025,"TRANSFER TO APEX ELECTRICAL CONTRACTING",-3236.91,18146.55
30/10/2025,"VISA PURCHASE 30/10 BUNNINGS 7263 BRISBANE QL",-1524.54,16622.01
31/10/2025,"DEPOSIT CENTENNIAL GROUP PROGRESS CLAIM 856586",34473.54,51095.55
31/10/2025,"PAYROLL 555723",-17465.87,33629.68
01/11/2025,"VISA PURCHASE 01/11 BP NEWCASTLE",-176.08,33453.60
02/11/2025,"VISA PURCHASE 02/11 BUNNINGS 4936 SYDNEY NS",-669.37,32784.23
04/11/2025,"TRANSFER TO SOUTHERN CONCRETING CONTRACTING",-1699.25,31084.98
05/11/2025,"OSKO PAYMENT FROM BRIGHTON HOMES INV 891038",6591.07,37676.05
06/11/2025,"CREDIT INTEREST PAID",30.07,37706.12
06/11/2025,"VISA PURCHASE 06/11 COLES 6369",-124.40,37581.72
06/11/2025,"TRANSFER 167813",-824.06,36757.66
07/11/2025,"VISA PURCHASE 07/11 BUNNINGS 4631 SYDNEY NS",-1015.98,35741.68
07/11/2025,"VISA PURCHASE 07/11 MITRE 10 PARRAMATTA",-584.98,35156.70
07/11/2025,"VISA PURCHASE 07/11 BP BRISBANE QL",-94.17,35062.53
07/11/2025,"TRANSFER TO SOUTHERN CONCRETING CONTRACTING",-7959.57,27102.96
08/11/2025,"PAYROLL 189177",-14545.07,12557.89
10/11/2025,"DIRECT CREDIT 512296 NORTHSIDE BUILDERS",3415.77,15973.66
10/11/2025,"DIRECT DEBIT 866642 NSW FAIR TRADING LICENCE",-379.88,15593.78
11/11/2025,"EFTPOS TRADELINK 3824 BLACKTOWN",-1448.48,14145.30
11/11/2025,"VISA PURCHASE 11/11 AMPOL BRISBANE QL",-125.02,14020.28
11/11/2025,"VISA PURCHASE 11/11 AWS EMEA AUD",-229.06,13791.22
11/11/2025,"TRANSFER TO 155994 YARD RENT MONTHLY",-3300.00,10491.22
12/11/2025,"OSKO PAYMENT FROM REDGUM PROJECTS INV 614880",15327.99,25819.21
12/11/2025,"VISA PURCHASE 12/11 BUNNINGS 9676 RICHMOND VIC",-1455.89,24363.32
12/11/2025,"EFTPOS WOOLWORTHS 4783 NEWCASTLE",-112.86,24250.46
12/11/2025,"VISA PURCHASE 12/11 BAKERS DELIGHT 8502",-17.49,24232.97
13/11/2025,"DIRECT DEBIT 488415 REECE PLUMBING",-2081.69,22151.28
14/11/2025,"EFTPOS BUNNINGS WAREHOUSE 2691",-1299.53,20851.75
15/11/2025,"DIRECT DEBIT 751750 NRMA INSURANCE",-142.00,20709.75
15/11/2025,"LOAN REPAYMENT 807702 EQUIPMENT FINANCE",-1840.00,18869.75
16/11/2025,"TRANSFER TO SOUTHERN CONCRETING CONTRACTING",-4311.03,14558.72
17/11/2025,"OSKO PAYMENT FROM CENTENNIAL GROUP INV 536372",7709.59,22268.31
17/11/2025,"BPAY 509990 AGL ENERGY",-342.61,21925.70
17/11/2025,"ACCOUNT KEEPING FEE",-10.00,21915.70
18/11/2025,"EFTPOS BUNNINGS WAREHOUSE 3080",-2238.27,19677.43
18/11/2025,"DIRECT DEBIT 505339 XERO AUSTRALIA",-70.00,19607.43
18/11/2025,"OSKO PAYMENT TO MERIVALE HOLDINGS PTY LTD",-43544.71,-23937.28
19/11/2025,"DIRECT DEBIT 639004 TELSTRA CORP",-191.50,-24128.78
19/11/2025,"PAYMENT T WILLIAMS",-2265.50,-26394.28
20/11/2025,"EFTPOS 3732 MELBOURNE VI",-463.69,-26857.97
21/11/2025,"EFTPOS BUNNINGS WAREHOUSE 6327",-2361.84,-29219.81
21/11/2025,"EFTPOS CALTEX 8181",-85.60,-29305.41
22/11/2025,"OSKO PAYMENT FROM CENTENNIAL GROUP INV 416023",12017.80,-17287.61
22/11/2025,"VISA PURCHASE 22/11 MICROSOFT 365",-145.95,-17433.56
24/11/2025,"EFTPOS CALTEX 8479",-91.56,-17525.12
24/11/2025,"VISA PURCHASE 24/11 COLES 5355",-52.40,-17577.52
26/11/2025,"VISA PURCHASE 26/11 BUNNINGS 3252 NEWCASTLE",-1886.21,-19463.73
26/11/2025,"PAYROLL 472224",-15720.36,-35184.09
28/11/2025,"OSKO PAYMENT FROM NORTHSIDE BUILDERS INV 780672",17058.62,-18125.47
28/11/2025,"DIRECT DEBIT 223084 AUSTRALIANSUPER SGC",-2123.70,-20249.17
29/11/2025,"DIRECT DEBIT 457907 REECE PLUMBING",-411.61,-20660.78
29/11/2025,"VISA PURCHASE 29/11 BP BLACKTOWN",-84.09,-20744.87
30/11/2025,"EFTPOS BUNNINGS WAREHOUSE 9289",-874.02,-21618.89
01/12/2025,"TRANSFER TO APEX ELECTRICAL CONTRACTING",-4938.00,-26556.89
03/12/2025,"VISA PURCHASE 03/12 MITRE 10 NEWCASTLE",-699.84,-27256.73
04/12/2025,"VISA PURCHASE 04/12 BUNNINGS 4854 NEWCASTLE",-921.41,-28178.14
04/12/2025,"BPAY 873519 AGL ENERGY",-622.48,-28800.62
05/12/2025,"VISA PURCHASE 05/12 AMPOL BRISBANE QL",-176.23,-28976.85
05/12/2025,"VISA PURCHASE 05/12 OFFICEWORKS 5617 GEELONG VIC",-258.05,-29234.90
05/12/2025,"TRANSFER TO SOUTHERN CONCRETING CONTRACTING",-5208.85,-34443.75
06/12/2025,"OSKO PAYMENT FROM ATLAS PROPERTY GRP INV 880513",17514.01,-16929.74
07/12/2025,"CREDIT INTEREST PAID",20.55,-16909.19
07/12/2025,"VISA PURCHASE 07/12 BAKERS DELIGHT 9024",-39.92,-16949.11
08/12/2025,"DIRECT CREDIT 748154 ATLAS PROPERTY GRP",4930.75,-12018.36
09/12/2025,"EFTPOS BUNNINGS WAREHOUSE 4511",-120.28,-12138.64
09/12/2025,"VISA PURCHASE 09/12 BP RICHMOND VIC",-72.79,-12211.43
09/12/2025,"EFTPOS WOOLWORTHS 3120 NEWCASTLE",-62.93,-12274.36
09/12/2025,"LOAN REPAYMENT 832244 EQUIPMENT FINANCE",-1840.00,-14114.36
13/12/2025,"PAYROLL 310913",-18029.95,-32144.31
14/12/2025,"VISA PURCHASE 14/12 AMPOL BRISBANE QL",-64.10,-32208.41
15/12/2025,"EFTPOS BUNNINGS WAREHOUSE 1945",-114.27,-32322.68
15/12/2025,"DIRECT DEBIT 874644 REECE PLUMBING",-382.10,-32704.78
15/12/2025,"EFTPOS ULTRA TUNE PENRITH NSW",-852.14,-33556.92
15/12/2025,"VISA PURCHASE 15/12 BAKERS DELIGHT 6165",-25.35,-33582.27
15/12/2025,"OSKO PAYMENT TO SOUTHERN CONCRETING PTY LTD 856861",-5802.97,-39385.24
16/12/2025,"OSKO PAYMENT FROM NORTHSIDE BUILDERS INV 496299",14357.62,-25027.62
16/12/2025,"EFTPOS TRADELINK 1579 PARRAMATTA",-1469.81,-26497.43
17/12/2025,"VISA PURCHASE 17/12 MITRE 10 MELBOURNE VI",-218.86,-26716.29
17/12/2025,"INTERNATIONAL TRANSACTION FEE",-7.95,-26724.24
17/12/2025,"TRANSFER TO TRUE LINE PLUMBING CONTRACTING",-8252.26,-34976.50
18/12/2025,"EFTPOS CALTEX 7831",-76.86,-35053.36
18/12/2025,"VISA PURCHASE 18/12 XERO.COM",-70.00,-35123.36
18/12/2025,"VISA PURCHASE 18/12 COLES 9520",-109.73,-35233.09
19/12/2025,"DIRECT CREDIT 471503 ATLAS PROPERTY GRP",6619.15,-28613.94
21/12/2025,"VISA PURCHASE 21/12 BUNNINGS 8533 GEELONG VIC",-1206.18,-29820.12
21/12/2025,"VISA PURCHASE 21/12 MICROSOFT 365",-157.85,-29977.97
22/12/2025,"DEPOSIT MERIDIAN CONSTRUCTIONS PROGRESS CLAIM 316745",21816.22,-8161.75
22/12/2025,"DIRECT DEBIT 308602 TELSTRA CORP",-228.31,-8390.06
22/12/2025,"TRANSFER TO 664002 YARD RENT MONTHLY",-3300.00,-11690.06
23/12/2025,"DIRECT DEBIT 342766",-238.56,-11928.62
24/12/2025,"DIRECT DEBIT 417198 NRMA INSURANCE",-142.00,-12070.62
24/12/2025,"VISA PURCHASE 24/12 OFFICEWORKS 8561 MELBOURNE VI",-252.55,-12323.17
25/12/2025,"OSKO PAYMENT FROM K&L DEVELOPMENTS INV 617113",5331.45,-6991.72
25/12/2025,"VISA PURCHASE 25/12 BUNNINGS 6625 SYDNEY NS",-884.41,-7876.13
25/12/2025,"ACCOUNT KEEPING FEE",-10.00,-7886.13
25/12/2025,"INTEREST CHARGED",-431.14,-8317.27
26/12/2025,"TRANSFER TO J MCKENZIE CONTRACTING",-4632.77,-12950.04
27/12/2025,"VISA PURCHASE 27/12 AMPOL BLACKTOWN",-163.60,-13113.64
28/12/2025,"EFTPOS WOOLWORTHS 9130 GEELONG VIC",-80.73,-13194.37
29/12/2025,"OSKO PAYMENT FROM CENTENNIAL GROUP INV 764188",15609.61,2415.24
31/12/2025,"VISA PURCHASE 31/12 COLES 4171",-113.54,2301.70
01/01/2026,"OSKO PAYMENT FROM ATLAS PROPERTY GRP INV 348657",3055.99,5357.69
01/01/2026,"TRANSFER TO J MCKENZIE CONTRACTING",-3346.14,2011.55
02/01/2026,"EFTPOS BUNNINGS WAREHOUSE 2755",-2321.94,-310.39
02/01/2026,"EFTPOS CALTEX 7389",-92.33,-402.72
02/01/2026,"VISA PURCHASE 02/01 MICROSOFT 365",-151.10,-553.82
03/01/2026,"PAYROLL 215837",-14490.22,-15044.04
05/01/2026,"VISA PURCHASE 05/01 BUNNINGS 1300 PARRAMATTA",-1478.63,-16522.67
06/01/2026,"DIRECT CREDIT 285365 REDGUM PROJECTS",8527.19,-7995.48
06/01/2026,"EFTPOS ULTRA TUNE BLACKTOWN",-507.44,-8502.92
06/01/2026,"INTEREST CHARGED",-497.81,-9000.73
06/01/2026,"EFTPOS 7775 SPRINGVALE",-410.85,-9411.58
07/01/2026,"DEPOSIT REDGUM PROJECTS PROGRESS CLAIM 985337",24062.33,14650.75
07/01/2026,"VISA PURCHASE 07/01 BP SPRINGVALE",-112.02,14538.73
07/01/2026,"VISA PURCHASE 07/01 BAKERS DELIGHT 4177",-19.23,14519.50
08/01/2026,"DIRECT CREDIT 578858 WESTFIELD RETAIL",12224.73,26744.23
08/01/2026,"EFTPOS TRADELINK 9783 MELBOURNE VI",-1118.15,25626.08
08/01/2026,"BPAY 717575 AGL ENERGY",-524.48,25101.60
09/01/2026,"EFTPOS BUNNINGS WAREHOUSE 2034",-2097.04,23004.56
09/01/2026,"VISA PURCHASE 09/01 MITRE 10 MELBOURNE VI",-294.67,22709.89
09/01/2026,"DIRECT DEBIT 936387 REECE PLUMBING",-1301.34,21408.55
09/01/2026,"VISA PURCHASE 09/01 OFFICEWORKS 5265 GEELONG VIC",-202.55,21206.00
09/01/2026,"ACCOUNT KEEPING FEE",-10.00,21196.00
10/01/2026,"OSKO PAYMENT TO APEX ELECTRICAL PTY LTD 988453",-4941.72,16254.28
11/01/2026,"PAYMENT T WILLIAMS",-1788.65,14465.63
12/01/2026,"VISA PURCHASE 12/01 BP SYDNEY NS",-153.69,14311.94
12/01/2026,"EFTPOS WOOLWORTHS 7447 GEELONG VIC",-93.96,14217.98
13/01/2026,"OSKO PAYMENT FROM BRIGHTON HOMES INV 144271",5541.58,19759.56
13/01/2026,"LOAN REPAYMENT 155175 EQUIPMENT FINANCE",-1840.00,17919.56
14/01/2026,"VISA PURCHASE 14/01 BUNNINGS 4944 BRISBANE QL",-1162.51,16757.05
14/01/2026,"EFTPOS CALTEX 2674",-78.05,16679.00
14/01/2026,"BPAY 409925 ATO BUSINESS ACTIVITY STATEMENT",-6097.55,10581.45
17/01/2026,"DIRECT CREDIT 675832 HARBOUR CIVIL",14280.94,24862.39
