Date,Description,Amount,Balance
02/11/2025,"CREDIT INTEREST PAID",9.26,95997.37
02/11/2025,"EFTPOS TOBYS ESTATE PARRAMATTA",-29.43,95967.94
04/11/2025,"OSKO PAYMENT FROM ATLAS PROPERTY GRP INV 669056",8003.85,103971.79
05/11/2025,"VISA PURCHASE 05/11 UBER TRIP 398920",-33.85,103937.94
06/11/2025,"VISA PURCHASE 06/11 CANVA",-15.42,103922.52
06/11/2025,"EFTPOS CAMPOS COFFEE BRISBANE QL",-21.17,103901.35
07/11/2025,"TRANSFER TO 692482 OWNER DRAWINGS",-4854.66,99046.69
08/11/2025,"EFTPOS CAMPOS COFFEE GEELONG VIC",-38.15,99008.54
10/11/2025,"DIRECT DEBIT 162200",-115.17,98893.37
12/11/2025,"VISA PURCHASE 12/11 VIRGIN AUSTRALIA",-725.95,98167.42
13/11/2025,"EFTPOS SEVEN SEEDS SPRINGVALE",-20.84,98146.58
13/11/2025,"TRANSFER 673640",-557.41,97589.17
16/11/2025,"EFTPOS CAMPOS COFFEE SPRINGVALE",-15.32,97573.85
17/11/2025,"DIRECT CREDIT 538385 REDGUM PROJECTS",4216.65,101790.50
17/11/2025,"DIRECT DEBIT 877562 OPTUS BILLING",-117.57,101672.93
17/11/2025,"ACCOUNT KEEPING FEE",-6.00,101666.93
19/11/2025,"EFTPOS TOBYS ESTATE BLACKTOWN",-11.41,101655.52
21/11/2025,"VISA PURCHASE 21/11 ATLASSIAN",-47.83,101607.69
24/11/2025,"EFTPOS 7184 PENRITH NSW",-406.66,101201.03
24/11/2025,"OSKO PAYMENT TO STANHOPE HOLDINGS PTY LTD",-45835.93,55365.10
25/11/2025,"EFTPOS SEVEN SEEDS PARRAMATTA",-8.32,55356.78
26/11/2025,"TRANSFER TO 851966 OWNER DRAWINGS",-4550.36,50806.42
26/11/2025,"VISA PURCHASE 26/11 UBER TRIP 615818",-52.67,50753.75
27/11/2025,"DIRECT CREDIT 453502 PACIFIC FITOUTS",10375.00,61128.75
01/12/2025,"VISA PURCHASE 01/12 ATLASSIAN",-54.73,61074.02
02/12/2025,"OSKO PAYMENT FROM PACIFIC FITOUTS INV 702482",5523.37,66597.39
02/12/2025,"EFTPOS TOBYS ESTATE PENRITH NSW",-6.84,66590.55
02/12/2025,"PAYMENT A NGUYEN",-819.66,65770.89
03/12/2025,"TRANSFER 281240",-2236.39,63534.50
06/12/2025,"DIRECT DEBIT 367041 HOSTPLUS SUPER",-1247.08,62287.42
07/12/2025,"CREDIT INTEREST PAID",13.26,62300.68
08/12/2025,"OSKO PAYMENT FROM CENTENNIAL GROUP INV 915389",11910.29,74210.97
10/12/2025,"VISA PURCHASE 10/12 ADOBE SYSTEMS",-93.32,74117.65
10/12/2025,"EFTPOS CAMPOS COFFEE PARRAMATTA",-28.40,74089.25
11/12/2025,"DIRECT DEBIT 540641 OPTUS BILLING",-130.36,73958.89
12/12/2025,"TRANSFER TO 263013 OWNER DRAWINGS",-5238.97,68719.92
14/12/2025,"EFTPOS THE DAILY GRIND PENRITH NSW",-29.33,68690.59
17/12/2025,"OSKO PAYMENT FROM PACIFIC FITOUTS INV 857538",14111.55,82802.14
17/12/2025,"EFTPOS THE DAILY GRIND SPRINGVALE",-11.95,82790.19
17/12/2025,"VISA PURCHASE 17/12 OFFICEWORKS 3095",-89.66,82700.53
18/12/2025,"VISA PURCHASE 18/12 SINGAPORE AIRLINES INTERNATIONAL",-2021.13,80679.40
19/12/2025,"OSKO PAYMENT FROM NORTHSIDE BUILDERS INV 549245",13707.19,94386.59
19/12/2025,"EFTPOS SEVEN SEEDS BRISBANE QL",-26.41,94360.18
19/12/2025,"EFTPOS 3895 RICHMOND VIC",-443.14,93917.04
21/12/2025,"VISA PURCHASE 21/12 ADOBE SYSTEMS",-137.51,93779.53
23/12/2025,"EFTPOS TOBYS ESTATE RICHMOND VIC",-41.44,93738.09
28/12/2025,"OSKO PAYMENT FROM WESTFIELD RETAIL INV 966161",5321.84,99059.93
01/01/2026,"VISA PURCHASE 01/01 CANVA",-31.39,99028.54
02/01/2026,"EFTPOS SEVEN SEEDS BLACKTOWN",-41.01,98987.53
03/01/2026,"OSKO PAYMENT FROM HARBOUR CIVIL INV 523038",9017.95,108005.48
04/01/2026,"VISA PURCHASE 04/01 UBER TRIP 107068",-14.44,107991.04
05/01/2026,"EFTPOS TOBYS ESTATE NEWCASTLE",-40.86,107950.18
06/01/2026,"TRANSFER TO 952192 OWNER DRAWINGS",-4200.87,103749.31
07/01/2026,"EFTPOS 3053 SPRINGVALE",-529.09,103220.22
08/01/2026,"OSKO PAYMENT FROM MERIDIAN CONSTRUCTIONS INV 829320",5198.36,108418.58
08/01/2026,"EFTPOS THE DAILY GRIND BRISBANE QL",-24.14,108394.44
08/01/2026,"ACCOUNT KEEPING FEE",-6.00,108388.44
09/01/2026,"DIRECT DEBIT 744461",-237.61,108150.83
11/01/2026,"VISA PURCHASE 11/01 QANTAS AIRWAYS",-551.77,107599.06
12/01/2026,"EFTPOS SEVEN SEEDS NEWCASTLE",-36.74,107562.32
15/01/2026,"OSKO PAYMENT FROM WESTFIELD RETAIL INV 259011",10441.73,118004.05
16/01/2026,"EFTPOS CAMPOS COFFEE BRISBANE QL",-9.05,117995.00
16/01/2026,"VISA PURCHASE 16/01 OFFICEWORKS 8041",-201.77,117793.23
17/01/2026,"VISA PURCHASE 17/01 CANVA",-120.60,117672.63
18/01/2026,"DIRECT DEBIT 751721 HOSTPLUS SUPER",-1093.28,116579.35
19/01/2026,"EFTPOS SEVEN SEEDS BRISBANE QL",-36.03,116543.32
21/01/2026,"BPAY 292396 ATO INTEGRATED CLIENT ACCOUNT",-5304.16,111239.16
21/01/2026,"TRANSFER 845063",-4119.30,107119.86
22/01/2026,"OSKO PAYMENT FROM BRIGHTON HOMES INV 574832",12313.48,119433.34
22/01/2026,"TRANSFER TO 910117 OWNER DRAWINGS",-5617.18,113816.16
24/01/2026,"EFTPOS THE DAILY GRIND RICHMOND VIC",-7.52,113808.64
26/01/2026,"VISA PURCHASE 26/01 ATLASSIAN",-136.67,113671.97
29/01/2026,"VISA PURCHASE 29/01 QANTAS AIRWAYS",-221.70,113450.27
29/01/2026,"EFTPOS CAMPOS COFFEE SYDNEY NS",-40.57,113409.70
29/01/2026,"DIRECT DEBIT 891683",-149.97,113259.73
30/01/2026,"DIRECT CREDIT 684760 MERIDIAN CONSTRUCTIONS",5983.76,119243.49
03/02/2026,"VISA PURCHASE 03/02 UBER TRIP 565718",-52.87,119190.62
04/02/2026,"DIRECT CREDIT 586507 PACIFIC FITOUTS",11630.32,130820.94
04/02/2026,"EFTPOS TOBYS ESTATE BLACKTOWN",-21.70,130799.24
04/02/2026,"PAYMENT R OBRIEN",-944.10,129855.14
06/02/2026,"VISA PURCHASE 06/02 CANVA",-160.62,129694.52
09/02/2026,"ACCOUNT KEEPING FEE",-6.00,129688.52
10/02/2026,"EFTPOS SEVEN SEEDS SPRINGVALE",-15.39,129673.13
13/02/2026,"EFTPOS 4694 NEWCASTLE",-31.25,129641.88
14/02/2026,"DIRECT DEBIT 650296 OPTUS BILLING",-107.78,129534.10
16/02/2026,"TFR 147758",-1580.02,127954.08
17/02/2026,"EFTPOS TOBYS ESTATE PENRITH NSW",-39.94,127914.14
18/02/2026,"OSKO PAYMENT FROM PACIFIC FITOUTS INV 333814",5902.02,133816.16
20/02/2026,"EFTPOS THE DAILY GRIND BLACKTOWN",-34.14,133782.02
22/02/2026,"DIRECT CREDIT 115970 K&L DEVELOPMENTS",3919.66,137701.68
23/02/2026,"VISA PURCHASE 23/02 OFFICEWORKS 9301",-251.70,137449.98
25/02/2026,"VISA PURCHASE 25/02 CANVA",-173.06,137276.92
26/02/2026,"TRANSFER TO 864207 OWNER DRAWINGS",-4710.47,132566.45
27/02/2026,"EFTPOS TOBYS ESTATE GEELONG VIC",-24.40,132542.05
28/02/2026,"OSKO PAYMENT FROM NORTHSIDE BUILDERS INV 298688",11365.94,143907.99
03/03/2026,"EFTPOS TOBYS ESTATE SPRINGVALE",-38.53,143869.46
05/03/2026,"VISA PURCHASE 05/03 UBER TRIP 313272",-23.14,143846.32
06/03/2026,"EFTPOS CAMPOS COFFEE PARRAMATTA",-37.85,143808.47
09/03/2026,"OSKO PAYMENT FROM HARBOUR CIVIL INV 686278",3224.33,147032.80
09/03/2026,"VISA PURCHASE 09/03 ATLASSIAN",-114.88,146917.92
11/03/2026,"EFTPOS THE DAILY GRIND BLACKTOWN",-21.77,146896.15
13/03/2026,"DIRECT DEBIT 422508 OPTUS BILLING",-124.73,146771.42
13/03/2026,"VISA PURCHASE 13/03 QANTAS AIRWAYS",-806.33,145965.09
13/03/2026,"EFTPOS THE DAILY GRIND BRISBANE QL",-6.30,145958.79
13/03/2026,"PAYMENT A NGUYEN",-1289.96,144668.83
16/03/2026,"DIRECT CREDIT 392667 CENTENNIAL GROUP",10437.07,155105.90
17/03/2026,"VISA PURCHASE 17/03 ADOBE SYSTEMS",-25.82,155080.08
17/03/2026,"EFTPOS CAMPOS COFFEE SPRINGVALE",-5.64,155074.44
18/03/2026,"VISA PURCHASE 18/03 UBER TRIP 141588",-58.91,155015.53
20/03/2026,"DIRECT CREDIT 393928 NORTHSIDE BUILDERS",3574.40,158589.93
22/03/2026,"ACCOUNT KEEPING FEE",-6.00,158583.93
23/03/2026,"EFTPOS 6058 NEWCASTLE",-514.30,158069.63
24/03/2026,"EFTPOS TOBYS ESTATE PARRAMATTA",-5.10,158064.53
25/03/2026,"OSKO PAYMENT FROM NORTHSIDE BUILDERS INV 311003",5205.45,163269.98
25/03/2026,"TRANSFER TO 291377 OWNER DRAWINGS",-2733.79,160536.19
26/03/2026,"CREDIT INTEREST PAID",3.24,160539.43
30/03/2026,"OSKO PAYMENT FROM NORTHSIDE BUILDERS INV 969675",9693.90,170233.33
30/03/2026,"EFTPOS TOBYS ESTATE PARRAMATTA",-27.65,170205.68
31/03/2026,"VISA PURCHASE 31/03 ADOBE SYSTEMS",-82.38,170123.30
31/03/2026,"VISA PURCHASE 31/03 UBER TRIP 161567",-60.77,170062.53
01/04/2026,"EFTPOS SEVEN SEEDS PENRITH NSW",-12.70,170049.83
07/04/2026,"EFTPOS TOBYS ESTATE NEWCASTLE",-28.05,170021.78
08/04/2026,"VISA PURCHASE 08/04 OFFICEWORKS 3615",-339.09,169682.69
09/04/2026,"VISA PURCHASE 09/04 ADOBE SYSTEMS",-120.44,169562.25
09/04/2026,"EFTPOS TOBYS ESTATE SPRINGVALE",-36.76,169525.49
10/04/2026,"DIRECT CREDIT 191446 NORTHSIDE BUILDERS",12061.27,181586.76
10/04/2026,"DIRECT DEBIT 864922 HOSTPLUS SUPER",-1331.79,180254.97
14/04/2026,"EFTPOS CAMPOS COFFEE PENRITH NSW",-31.48,180223.49
14/04/2026,"VISA PURCHASE 14/04 UBER TRIP 295276",-28.30,180195.19
15/04/2026,"TFR 957791",-611.38,179583.81
16/04/2026,"EFTPOS TOBYS ESTATE PENRITH NSW",-36.74,179547.07
17/04/2026,"DIRECT CREDIT 604450 REDGUM PROJECTS",7142.23,186689.30
20/04/2026,"EFTPOS THE DAILY GRIND MELBOURNE VI",-21.12,186668.18
21/04/2026,"CREDIT INTEREST PAID",23.88,186692.06
22/04/2026,"DIRECT CREDIT 695047 HARBOUR CIVIL",14360.42,201052.48
22/04/2026,"VISA PURCHASE 22/04 CANVA",-110.55,200941.93
23/04/2026,"TRANSFER TO 743363 OWNER DRAWINGS",-5682.48,195259.45
23/04/2026,"VISA PURCHASE 23/04 UBER TRIP 524656",-22.99,195236.46
26/04/2026,"TRANSFER 512952",-3773.03,191463.43
29/04/2026,"EFTPOS TOBYS ESTATE SPRINGVALE",-18.07,191445.36
30/04/2026,"DIRECT CREDIT 328017 PACIFIC FITOUTS",11410.35,202855.71
01/05/2026,"PAYMENT J SMITH",-939.31,201916.40
03/05/2026,"DIRECT DEBIT 200923",-262.39,201654.01
07/05/2026,"VISA PURCHASE 07/05 ATLASSIAN",-172.78,201481.23
07/05/2026,"EFTPOS CAMPOS COFFEE RICHMOND VIC",-37.06,201444.17
07/05/2026,"VISA PURCHASE 07/05 OFFICEWORKS 8449",-138.70,201305.47
08/05/2026,"DIRECT CREDIT 443870 REDGUM PROJECTS",13132.16,214437.63
09/05/2026,"EFTPOS THE DAILY GRIND BRISBANE QL",-38.39,214399.24
09/05/2026,"VISA PURCHASE 09/05 UBER TRIP 372430",-20.06,214379.18
10/05/2026,"DIRECT CREDIT 388672 WESTFIELD RETAIL",9708.24,224087.42
10/05/2026,"TRANSFER TO 619042 OWNER DRAWINGS",-4640.38,219447.04
15/05/2026,"EFTPOS CAMPOS COFFEE MELBOURNE VI",-41.86,219405.18
16/05/2026,"OSKO PAYMENT FROM PACIFIC FITOUTS INV 111072",9667.80,229072.98
18/05/2026,"EFTPOS SEVEN SEEDS BLACKTOWN",-19.25,229053.73
19/05/2026,"DIRECT DEBIT 885904 OPTUS BILLING",-97.27,228956.46
21/05/2026,"CREDIT INTEREST PAID",13.63,228970.09
21/05/2026,"EFTPOS SEVEN SEEDS PARRAMATTA",-27.81,228942.28
22/05/2026,"DIRECT CREDIT 224438 REDGUM PROJECTS",9808.89,238751.17
22/05/2026,"ACCOUNT KEEPING FEE",-6.00,238745.17
22/05/2026,"VISA PURCHASE 22/05 UBER TRIP 106192",-28.08,238717.09
24/05/2026,"VISA PURCHASE 24/05 ADOBE SYSTEMS",-167.77,238549.32
25/05/2026,"EFTPOS CAMPOS COFFEE PENRITH NSW",-5.21,238544.11
25/05/2026,"DIRECT DEBIT 687114",-66.56,238477.55
27/05/2026,"OSKO PAYMENT FROM WESTFIELD RETAIL INV 993997",2422.21,240899.76
28/05/2026,"TRANSFER TO 477429 OWNER DRAWINGS",-5422.47,235477.29
29/05/2026,"EFTPOS SEVEN SEEDS GEELONG VIC",-31.91,235445.38
30/05/2026,"EFTPOS 6905 BRISBANE QL",-429.10,235016.28
01/06/2026,"OSKO PAYMENT TO STANHOPE HOLDINGS PTY LTD",-28715.46,206300.82
03/06/2026,"EFTPOS TOBYS ESTATE GEELONG VIC",-16.22,206284.60
05/06/2026,"VISA PURCHASE 05/06 ADOBE SYSTEMS",-20.65,206263.95
05/06/2026,"EFTPOS TOBYS ESTATE PARRAMATTA",-13.50,206250.45
06/06/2026,"OSKO PAYMENT FROM HARBOUR CIVIL INV 943846",3466.66,209717.11
08/06/2026,"DIRECT CREDIT 692477 BRIGHTON HOMES",13404.42,223121.53
08/06/2026,"VISA PURCHASE 08/06 OFFICEWORKS 9904",-296.57,222824.96
08/06/2026,"TRANSFER TO 630644 OWNER DRAWINGS",-3428.51,219396.45
09/06/2026,"EFTPOS TOBYS ESTATE MELBOURNE VI",-21.85,219374.60
09/06/2026,"PAYMENT M SINGH",-1035.80,218338.80
12/06/2026,"VISA PURCHASE 12/06 ATLASSIAN",-137.23,218201.57
12/06/2026,"EFTPOS SEVEN SEEDS BLACKTOWN",-41.98,218159.59
12/06/2026,"BPAY 823803 ATO INTEGRATED CLIENT ACCOUNT",-2200.53,215959.06
15/06/2026,"OSKO PAYMENT FROM PACIFIC FITOUTS INV 195498",5790.14,221749.20
15/06/2026,"ACCOUNT KEEPING FEE",-6.00,221743.20
15/06/2026,"EFTPOS 6861 NEWCASTLE",-142.83,221600.37
17/06/2026,"EFTPOS SEVEN SEEDS BLACKTOWN",-16.44,221583.93
22/06/2026,"EFTPOS THE DAILY GRIND SPRINGVALE",-33.94,221549.99
22/06/2026,"TFR 634996",-1835.46,219714.53
23/06/2026,"DIRECT CREDIT 702093 CENTENNIAL GROUP",10759.69,230474.22
23/06/2026,"VISA PURCHASE 23/06 ATLASSIAN",-101.16,230373.06
24/06/2026,"EFTPOS SEVEN SEEDS PARRAMATTA",-17.63,230355.43
26/06/2026,"VISA PURCHASE 26/06 QANTAS AIRWAYS",-755.41,229600.02
26/06/2026,"TRANSFER TO 898545 OWNER DRAWINGS",-3893.28,225706.74
26/06/2026,"VISA PURCHASE 26/06 UBER TRIP 188676",-18.72,225688.02
27/06/2026,"DIRECT DEBIT 724199 OPTUS BILLING",-129.19,225558.83
27/06/2026,"EFTPOS TOBYS ESTATE MELBOURNE VI",-30.07,225528.76
