Date,Description,Amount,Balance
15/09/2026,"VISA PURCHASE 15/09 ATLASSIAN",-104.32,21113.77
15/09/2026,"EFTPOS TOBYS ESTATE SPRINGVALE",-11.43,21102.34
16/09/2026,"EFTPOS THE DAILY GRIND PENRITH NSW",-33.62,21068.72
17/09/2026,"DIRECT DEBIT 105304 OPTUS BILLING",-143.42,20925.30
23/09/2026,"DIRECT CREDIT 490622 HARBOUR CIVIL",8163.74,29089.04
24/09/2026,"TRANSFER TO 941298 OWNER DRAWINGS",-4154.61,24934.43
27/09/2026,"EFTPOS TOBYS ESTATE BLACKTOWN",-14.58,24919.85
27/09/2026,"ACCOUNT KEEPING FEE",-6.00,24913.85
28/09/2026,"OSKO PAYMENT FROM BRIGHTON HOMES INV 229057",12688.63,37602.48
29/09/2026,"VISA PURCHASE 29/09 ATLASSIAN",-92.99,37509.49
